Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,$17 191.08
Ethereum,https://coinmarketcap.com/currencies/ethereum/,$1 273.65
Tether,https://coinmarketcap.com/currencies/tether/,$1.00
Bnb,https://coinmarketcap.com/currencies/bnb/,$288.34
Usd Coin,https://coinmarketcap.com/currencies/usd-coin/,$1.00
Binance Usd,https://coinmarketcap.com/currencies/binance-usd/,$1.00
Xrp,https://coinmarketcap.com/currencies/xrp/,$0.3881
Dogecoin,https://coinmarketcap.com/currencies/dogecoin/,$0.09704
Cardano,https://coinmarketcap.com/currencies/cardano/,$0.3131
Polygon,https://coinmarketcap.com/currencies/polygon/,$0.9128
Polkadot New,https://coinmarketcap.com/currencies/polkadot-new/,$5.31
Multi Collateral Dai,https://coinmarketcap.com/currencies/multi-collateral-dai/,$1.00
Litecoin,https://coinmarketcap.com/currencies/litecoin/,$76.85
Shiba Inu,https://coinmarketcap.com/currencies/shiba-inu/,$0.00
Tron,https://coinmarketcap.com/currencies/tron/,$0.06
Solana,https://coinmarketcap.com/currencies/solana/,$13.67
Uniswap,https://coinmarketcap.com/currencies/uniswap/,$6.12
Avalanche,https://coinmarketcap.com/currencies/avalanche/,$13.55
Unus Sed Leo,https://coinmarketcap.com/currencies/unus-sed-leo/,$3.75
Chainlink,https://coinmarketcap.com/currencies/chainlink/,$6.89
Wrapped Bitcoin,https://coinmarketcap.com/currencies/wrapped-bitcoin/,$17155.77
Cosmos,https://coinmarketcap.com/currencies/cosmos/,$10.09
Monero,https://coinmarketcap.com/currencies/monero/,$149.98
Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,$19.28
Toncoin,https://coinmarketcap.com/currencies/toncoin/,$1.86
Stellar,https://coinmarketcap.com/currencies/stellar/,$0.09
Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,$109.98
Algorand,https://coinmarketcap.com/currencies/algorand/,$0.23
Cronos,https://coinmarketcap.com/currencies/cronos/,$0.06
Apecoin Ape,https://coinmarketcap.com/currencies/apecoin-ape/,$4.11
Filecoin,https://coinmarketcap.com/currencies/filecoin/,$4.41
Quant,https://coinmarketcap.com/currencies/quant/,$120.43
Near Protocol,https://coinmarketcap.com/currencies/near-protocol/,$1.72
Vechain,https://coinmarketcap.com/currencies/vechain/,$0.02
Okb,https://coinmarketcap.com/currencies/okb/,$21.43
Internet Computer,https://coinmarketcap.com/currencies/internet-computer/,$4.37
Hedera,https://coinmarketcap.com/currencies/hedera/,$0.05
Eos,https://coinmarketcap.com/currencies/eos/,$1.04
Elrond Egld,https://coinmarketcap.com/currencies/elrond-egld/,$45.81
Trust Wallet Token,https://coinmarketcap.com/currencies/trust-wallet-token/,$2.56
Flow,https://coinmarketcap.com/currencies/flow/,$1.02
Terra Luna,https://coinmarketcap.com/currencies/terra-luna/,$0.00
Huobi Token,https://coinmarketcap.com/currencies/huobi-token/,$6.46
Paxos Standard,https://coinmarketcap.com/currencies/paxos-standard/,$1.00
Chiliz,https://coinmarketcap.com/currencies/chiliz/,$0.15
Tezos,https://coinmarketcap.com/currencies/tezos/,$1.00
The Sandbox,https://coinmarketcap.com/currencies/the-sandbox/,$0.58
Aave,https://coinmarketcap.com/currencies/aave/,$61.84
Theta Network,https://coinmarketcap.com/currencies/theta-network/,$0.86
Axie Infinity,https://coinmarketcap.com/currencies/axie-infinity/,$8.40
Bitcoin Sv,https://coinmarketcap.com/currencies/bitcoin-sv/,$43.69
Chain,https://coinmarketcap.com/currencies/chain/,$0.04
Trueusd,https://coinmarketcap.com/currencies/trueusd/,$1.00
Decentraland,https://coinmarketcap.com/currencies/decentraland/,$0.40
Zcash,https://coinmarketcap.com/currencies/zcash/,$45.75
Usdd,https://coinmarketcap.com/currencies/usdd/,$0.98
Kucoin Token,https://coinmarketcap.com/currencies/kucoin-token/,$6.62
Bittorrent New,https://coinmarketcap.com/currencies/bittorrent-new/,$0.00
Pancakeswap,https://coinmarketcap.com/currencies/pancakeswap/,$4.00
Bitdao,https://coinmarketcap.com/currencies/bitdao/,$0.31
Aptos,https://coinmarketcap.com/currencies/aptos/,$4.80
Fantom,https://coinmarketcap.com/currencies/fantom/,$0.24
Gemini Dollar,https://coinmarketcap.com/currencies/gemini-dollar/,$1.01
Maker,https://coinmarketcap.com/currencies/maker/,$617.10
Neutrino Usd,https://coinmarketcap.com/currencies/neutrino-usd/,$0.86
Pax Gold,https://coinmarketcap.com/currencies/pax-gold/,$1789.28
Iota,https://coinmarketcap.com/currencies/iota/,$0.21
Ecash,https://coinmarketcap.com/currencies/ecash/,$0.00
Klaytn,https://coinmarketcap.com/currencies/klaytn/,$0.19
Dash,https://coinmarketcap.com/currencies/dash/,$46.96
Neo,https://coinmarketcap.com/currencies/neo/,$7.24
Osmosis,https://coinmarketcap.com/currencies/osmosis/,$1.02
The Graph,https://coinmarketcap.com/currencies/the-graph/,$0.07
Synthetix,https://coinmarketcap.com/currencies/synthetix/,$1.90
Thorchain,https://coinmarketcap.com/currencies/thorchain/,$1.42
Gmx,https://coinmarketcap.com/currencies/gmx/,$54.24
Fei Usd,https://coinmarketcap.com/currencies/fei-usd/,$1.00
Mina,https://coinmarketcap.com/currencies/mina/,$0.55
Ethereum Pow,https://coinmarketcap.com/currencies/ethereum-pow/,$3.81
Gatetoken,https://coinmarketcap.com/currencies/gatetoken/,$3.59
Stacks,https://coinmarketcap.com/currencies/stacks/,$0.28
Nexo,https://coinmarketcap.com/currencies/nexo/,$0.68
Curve Dao Token,https://coinmarketcap.com/currencies/curve-dao-token/,$0.64
Basic Attention Token,https://coinmarketcap.com/currencies/basic-attention-token/,$0.23
1Inch,https://coinmarketcap.com/currencies/1inch/,$0.45
Loopring,https://coinmarketcap.com/currencies/loopring/,$0.25
Lido Dao,https://coinmarketcap.com/currencies/lido-dao/,$1.04
Immutable X,https://coinmarketcap.com/currencies/immutable-x/,$0.44
Decred,https://coinmarketcap.com/currencies/decred/,$22.00
Casper,https://coinmarketcap.com/currencies/casper/,$0.03
Enjin Coin,https://coinmarketcap.com/currencies/enjin-coin/,$0.31
Kava,https://coinmarketcap.com/currencies/kava/,$0.89
Zilliqa,https://coinmarketcap.com/currencies/zilliqa/,$0.02
Arweave,https://coinmarketcap.com/currencies/arweave/,$8.98
Nem,https://coinmarketcap.com/currencies/nem/,$0.03
Holo,https://coinmarketcap.com/currencies/holo/,$0.00
Celo,https://coinmarketcap.com/currencies/celo/,$0.61
Compound,https://coinmarketcap.com/currencies/compound/,$39.79
Helium,https://coinmarketcap.com/currencies/helium/,$2.13
Ethereum Name Service,https://coinmarketcap.com/currencies/ethereum-name-service/,$13.80
